[Node list of texts and gods attested in them. This data was used for creating networks with full texts.]
Text	God
cams-gkab/P338517	Nintinuga
cams-gkab/P338550	Marduk
cams-gkab/P338550	Anu
cams-gkab/P338550	Enlil
cams-gkab/P338550	Šamaš
cams-gkab/P338551	Kusu
cams-gkab/P338551	Belet-ili
cams-gkab/P338551	Papsukkal
cams-gkab/P338551	Šamaš
cams-gkab/P338551	Ninildum
cams-gkab/P338551	Kusibanda
cams-gkab/P338551	Nusku
cams-gkab/P338551	Marduk
cams-gkab/P338555	Enki
cams-gkab/P338555	Asalluhi
cams-gkab/P338555	Šamaš
cams-gkab/P338555	Ea
cams-gkab/P338558	Belet-ili
cams-gkab/P338558	Šamaš
cams-gkab/P338558	Asalluhi
cams-gkab/P338561	Ea
cams-gkab/P338561	Asalluhi
cams-gkab/P338561	Ereškigal
cams-gkab/P338566	Ninurta
cams-gkab/P338566	Nabu
cams-gkab/P338598	Marduk
cams-gkab/P338598	Ištar
cams-gkab/P338598	Dumuzi
cams-gkab/P338598	Nanaya
cams-gkab/P338598	Išhara
cams-gkab/P338598	Gazbaba
cams-gkab/P338615	Id
cams-gkab/P338615	Zababa
cams-gkab/P338615	Baba
cams-gkab/P338615	Asalluhi
cams-gkab/P338615	Marduk
cams-gkab/P338616	Gula
cams-gkab/P338616	Sin
cams-gkab/P338617	Šamaš
cams-gkab/P338617	Sin
cams-gkab/P338617	Enki
cams-gkab/P338617	Ea
cams-gkab/P338617	Nudimmud
cams-gkab/P338617	Ištaran
cams-gkab/P338617	Ištar
cams-gkab/P338617	Nergal
cams-gkab/P338617	Adad
cams-gkab/P338620	Gula
cams-gkab/P338620	Ištar
cams-gkab/P338620	Anunnaki
cams-gkab/P338620	Sin
cams-gkab/P338620	Zababa
cams-gkab/P338644	Sin
cams-gkab/P338644	Adad
cams-gkab/P338646	Šamaš
cams-gkab/P338646	Sin
cams-gkab/P338646	Ea
cams-gkab/P338646	Anu
cams-gkab/P338646	Enlil
cams-gkab/P338646	Marduk
cams-gkab/P338646	Adad
cams-gkab/P338654	Šamaš
cams-gkab/P338654	Sin
cams-gkab/P338654	Erra
cams-gkab/P338655	Šamaš
cams-gkab/P338655	Belet-ili
cams-gkab/P338655	Baba
cams-gkab/P338655	Ninŋirsuk
cams-gkab/P338655	Belet-balaṭi
cams-gkab/P338655	Enlil
cams-gkab/P338655	Sin
cams-gkab/P338655	Adad
cams-gkab/P338655	Marduk
cams-gkab/P338655	Nabu
cams-gkab/P338655	Anu
cams-gkab/P338655	Ninurta
cams-gkab/P338655	Ištar
cams-gkab/P338655	Ea
cams-gkab/P338655	Namraṣit
cams-gkab/P338656	Marduk
cams-gkab/P338656	Enmešara
cams-gkab/P338656	Tutu
cams-gkab/P338656	Papsukkal
cams-gkab/P338656	Kakka
cams-gkab/P338656	Dumuzi
cams-gkab/P338656	Anšar
cams-gkab/P338656	Anzu
cams-gkab/P338656	Ninurta
cams-gkab/P338656	Baba
cams-gkab/P338656	Tiamat
cams-gkab/P338656	Nusku
cams-gkab/P338656	Nabu
cams-gkab/P338656	Sebettu
cams-gkab/P338656	Anu
cams-gkab/P338656	Asakku
cams-gkab/P338656	Enlil
cams-gkab/P338656	Šazu
cams-gkab/P338686	Aššur
cams-gkab/P338686	Enlil
cams-gkab/P338686	Anu
cams-gkab/P338686	Antu
cams-gkab/P338686	Mullissu
cams-gkab/P338686	Gula
cams-gkab/P338714	Sin
cams-gkab/P338714	Nergal
cams-gkab/P338714	Marduk
cams-gkab/P338714	Zarpanitu
cams-gkab/P338714	Nusku
cams-gkab/P338714	Sadarnuna
cams-gkab/P338714	Anu
cams-gkab/P338714	Antu
cams-gkab/P338714	Gula
cams-gkab/P338714	Asakku
cams-gkab/P338714	Enlil
cams-gkab/P338714	Ea
cams-gkab/P338714	Šamaš
cams-gkab/P338714	Adad
cams-gkab/P338714	Ninlil
cams-gkab/P338714	Ninurta
cams-gkab/P338720	Ištar
cams-gkab/P338720	Nusku
cams-gkab/P348651	Šamaš
cams-gkab/P348651	Adad
cams-gkab/P363416	Ištar
cams-gkab/P363416	Sin
cams-gkab/P363416	Šamaš
cams-gkab/P363416	Manzat
cams-gkab/P363417	Enlil
cams-gkab/P363417	Sin
cams-gkab/P363417	Ninimma
cams-gkab/P363419	Sin
cams-gkab/P363419	Manzat
cams-gkab/P363419	Adad
cams-gkab/P363419	Šulpae
cams-gkab/P363419	Erra
cams-gkab/P363420	Šamaš
cams-gkab/P363420	Enlil
cams-gkab/P363422	Sin
cams-gkab/P363422	Šamaš
cams-gkab/P363422	Manzat
cams-gkab/P363423	Enlil
cams-gkab/P363423	Šamaš
cams-gkab/P363430	Enmešara
cams-gkab/P363430	Ištar
cams-gkab/P363430	Sin
cams-gkab/P363430	Šamaš
cams-gkab/P363430	Lamaštu
cams-gkab/P363430	Adad
cams-gkab/P363431	Sin
cams-gkab/P363431	Šamaš
cams-gkab/P363431	Šulpae
cams-gkab/P363436	Belet-ili
cams-gkab/P363436	Adad
cams-gkab/P363441	Manzat
cams-gkab/P363441	Enlil
cams-gkab/P363442	Enlil
cams-gkab/P363442	Enmešara
cams-gkab/P363442	Lugalira
cams-gkab/P363442	Anu
cams-gkab/P363442	Zababa
cams-gkab/P363442	Šamaš
cams-gkab/P363443	Baba
cams-gkab/P363443	Nergal
cams-gkab/P363443	Damu
cams-gkab/P363443	Manzat
cams-gkab/P363443	Enlil
cams-gkab/P363443	Marduk
cams-gkab/P363443	Ea
cams-gkab/P363443	Sin
cams-gkab/P363443	Anu
cams-gkab/P363444	Sin
cams-gkab/P363444	Erra
cams-gkab/P363467	Ea
cams-gkab/P363467	Adad
cams-gkab/P363467	Ninŋešzidak
cams-gkab/P363471	Šamaš
cams-gkab/P363471	Ištar
cams-gkab/P363471	Gula
cams-gkab/P363471	Sin
cams-gkab/P363473	Ninlil
cams-gkab/P363473	Šulak
cams-gkab/P363473	Nisaba
cams-gkab/P363473	Enlil
cams-gkab/P363473	Ninurta
cams-gkab/P363473	Ninegalak
